id,Name,naver_stock,investing 1,investing 2
34,일라이 릴리,https://stock.naver.com/worldstock/stock/LLY/price,https://www.investing.com/equities/eli-lilly-and-co,https://www.investing.com/equities/eli-lilly-and-co-technical
35,WisdomTree India Earnings Fund,https://stock.naver.com/worldstock/etf/EPI/price,https://www.investing.com/etfs/wisdomtree-india-earnings-fund,https://www.investing.com/etfs/wisdomtree-india-earnings-fund-technical
36,KODEX 미국S&P500,https://stock.naver.com/domestic/stock/379800/price,https://www.investing.com/etfs/379800,https://www.investing.com/etfs/379800-technical
37,비트코인,https://stock.naver.com/crypto/BITHUMB/BTC,https://www.investing.com/crypto/bitcoin/btc-krw,https://www.investing.com/crypto/bitcoin/btc-krw-technical
