id,Name,naver_stock,investing 1,investing 2
1,DRAM,https://stock.naver.com/worldstock/etf/DRAM.K/price,https://www.investing.com/etfs/dram,https://www.investing.com/etfs/dram-technical
2,HANARO 미국AI메모리반도체TOP4+,https://stock.naver.com/domestic/stock/0181B0/price,https://www.investing.com/etfs/0181b0-seoul,https://www.investing.com/etfs/0181b0-seoul-technical
3,모더나,https://stock.naver.com/worldstock/stock/MRNA.O/price,https://www.investing.com/equities/moderna,https://www.investing.com/equities/moderna-technical
4,iShares Genomics Immunology and Healthcare ETF,https://stock.naver.com/worldstock/etf/IDNA.K/price,https://www.investing.com/etfs/ishares-gen-immunologyhealthcare,https://www.investing.com/etfs/ishares-gen-immunologyhealthcare-technical
5,화이자,https://stock.naver.com/worldstock/stock/PFE/price,https://www.investing.com/equities/pfizer,https://www.investing.com/equities/pfizer-technical
6,KoAct 글로벌AI메모리반도체액티브,https://stock.naver.com/domestic/stock/0174B0/price,https://www.investing.com/etfs/0174b0-seoul,https://www.investing.com/etfs/0174b0-seoul-technical
7,GE 버노바,https://stock.naver.com/worldstock/stock/GEV/price,https://www.investing.com/equities/ge-vernova-llc,https://www.investing.com/equities/ge-vernova-llc-technical
8,First Trust NASDAQ Cln Edge Smart Grid Infra Ix Fd,https://stock.naver.com/worldstock/etf/GRID.O/price,https://www.investing.com/etfs/nq-clean-edge-smart-grid-infras.,https://www.investing.com/etfs/nq-clean-edge-smart-grid-infras.-technical
9,PAVE,https://stock.naver.com/worldstock/etf/PAVE.K/price,https://www.investing.com/etfs/global-x-us-infrastructure-dev,https://www.investing.com/etfs/global-x-us-infrastructure-dev-technical
10,HANARO 전력설비투자,https://stock.naver.com/domestic/stock/491820/price,https://www.investing.com/etfs/491820-seoul,https://www.investing.com/etfs/491820-seoul-technical
11,TIGER 코리아AI전력기기TOP3플러스,https://stock.naver.com/domestic/stock/0117V0/price,https://www.investing.com/etfs/0117v0-seoul,https://www.investing.com/etfs/0117v0-seoul-technical
12,HANARO Fn K-반도체,https://stock.naver.com/domestic/stock/395270/price,https://www.investing.com/etfs/395270,https://www.investing.com/etfs/395270-technical
13,현대로템,https://stock.naver.com/domestic/stock/064350/price,https://www.investing.com/equities/hyundai-rotem,https://www.investing.com/equities/hyundai-rotem-technical
14,TIGER 미국우주테크,https://stock.naver.com/domestic/stock/0183J0/price,https://www.investing.com/etfs/0183j0-seoul,https://www.investing.com/etfs/0183j0-seoul-technical
15,인텔,https://stock.naver.com/worldstock/stock/INTC.O/price,https://www.investing.com/equities/intel-corp,https://www.investing.com/equities/intel-corp-technical
16,LIG디펜스앤에어로스페이스,https://stock.naver.com/domestic/stock/079550/price,https://www.investing.com/equities/lig-nex1-co-ltd,https://www.investing.com/equities/lig-nex1-co-ltd-technical
17,현대차,https://stock.naver.com/domestic/stock/005380/price,https://www.investing.com/equities/hyundai-motor,https://www.investing.com/equities/hyundai-motor-technical
18,넥스트에라 에너지 (NEE),https://stock.naver.com/worldstock/stock/NEE/price,https://www.investing.com/equities/nextera-energy-inc,https://www.investing.com/equities/nextera-energy-inc-technical
19,KODEX 삼성전자SK하이닉스채권혼합50,https://stock.naver.com/domestic/stock/0177N0/price,https://www.investing.com/etfs/0177n0,https://www.investing.com/etfs/0177n0-technical
20,버티브 홀딩스,https://stock.naver.com/worldstock/stock/VRT/price,https://www.investing.com/equities/gs-acquisition-a,https://www.investing.com/equities/gs-acquisition-a-technical
21,JPMorgan Nasdaq Equity Premium Income ETF,https://stock.naver.com/worldstock/etf/JEPQ.O/price,https://www.investing.com/etfs/jepq,https://www.investing.com/etfs/jepq-technical
22,KODEX 미국S&P500(H),https://stock.naver.com/domestic/stock/449180/price,https://www.investing.com/etfs/449180,https://www.investing.com/etfs/449180-technical
23,SOL 미국배당다우존스(H),https://stock.naver.com/domestic/stock/452360/price,https://www.investing.com/etfs/452360,https://www.investing.com/etfs/452360-technical
24,SK하이닉스,https://stock.naver.com/domestic/stock/000660/price,https://www.investing.com/equities/sk-hynix-inc,https://www.investing.com/equities/sk-hynix-inc-technical
25,엔씨소프트,https://stock.naver.com/domestic/stock/036570/price,https://www.investing.com/equities/ncsoft-corp,https://www.investing.com/equities/ncsoft-corp-technical
26,Schwab US Dividend Equity ETF,https://stock.naver.com/worldstock/etf/SCHD.K/price,https://www.investing.com/etfs/schwab-us-dividend-equity,https://www.investing.com/etfs/schwab-us-dividend-equity-technical
27,삼성전자,https://stock.naver.com/domestic/stock/005930/price,https://www.investing.com/equities/samsung-electronics-co-ltd,https://www.investing.com/equities/samsung-electronics-co-ltd-technical
28,VanEck Semiconductor ETF,https://stock.naver.com/worldstock/etf/SMH.O/price,https://www.investing.com/etfs/holdrs-merrill-lynch-semiconductor,https://www.investing.com/etfs/holdrs-merrill-lynch-semiconductor-technical
29,리얼티 인컴,https://stock.naver.com/worldstock/stock/O/price,https://www.investing.com/equities/realty-income,https://www.investing.com/equities/realty-income-technical
30,마이크론 테크놀로지,https://stock.naver.com/worldstock/stock/MU.O/price,https://www.investing.com/equities/micron-tech,https://www.investing.com/equities/micron-tech-technical
31,TIGER 미국테크TOP10 INDXX(H),https://stock.naver.com/domestic/stock/472160/price,https://www.investing.com/etfs/472160,https://www.investing.com/etfs/472160-technical
32,KODEX AI전력핵심설비,https://stock.naver.com/domestic/stock/487240/price,https://www.investing.com/etfs/487240-seoul,https://www.investing.com/etfs/487240-seoul-technical
33,팔란티어 테크놀로지스,https://stock.naver.com/worldstock/stock/PLTR.O/price,https://www.investing.com/equities/palantir-technologies-inc,https://www.investing.com/equities/palantir-technologies-inc-technical
34,일라이 릴리,https://stock.naver.com/worldstock/stock/LLY/price,https://www.investing.com/equities/eli-lilly-and-co,https://www.investing.com/equities/eli-lilly-and-co-technical
35,WisdomTree India Earnings Fund,https://stock.naver.com/worldstock/etf/EPI/price,https://www.investing.com/etfs/wisdomtree-india-earnings-fund,https://www.investing.com/etfs/wisdomtree-india-earnings-fund-technical
36,KODEX 미국S&P500,https://stock.naver.com/domestic/stock/379800/price,https://www.investing.com/etfs/379800,https://www.investing.com/etfs/379800-technical
37,비트코인,https://stock.naver.com/crypto/BITHUMB/BTC,https://www.investing.com/crypto/bitcoin/btc-krw,https://www.investing.com/crypto/bitcoin/btc-krw-technical
