,Name,naver_stock,investing 1,investing 2,,,,,,"""'"" & C2 & ""',""",,,
3,TIGER 반도체TOP10커버드콜액티브,https://stock.naver.com/domestic/stock/0177R0/price,,,,,,,,,"'https://stock.naver.com/domestic/stock/0177R0/price',","'',","'',"
,TIGER 200커버드콜,https://stock.naver.com/domestic/stock/289480/price,https://www.investing.com/etfs/miraeasset-tiger200coveredcall-atm,https://www.investing.com/etfs/miraeasset-tiger200coveredcall-atm-technical,,,,,,,"'https://stock.naver.com/domestic/stock/289480/price',","'https://www.investing.com/etfs/miraeasset-tiger200coveredcall-atm',","'https://www.investing.com/etfs/miraeasset-tiger200coveredcall-atm-technical',"
5,현대건설,https://stock.naver.com/domestic/stock/000720/price,https://www.investing.com/equities/hyundai-engineering---construction,https://www.investing.com/equities/hyundai-engineering---construction-technical,,,,,,,"'https://stock.naver.com/domestic/stock/000720/price',","'https://www.investing.com/equities/hyundai-engineering---construction',","'https://www.investing.com/equities/hyundai-engineering---construction-technical',"
6,한화에어로스페이스,https://stock.naver.com/domestic/stock/012450/price,https://www.investing.com/equities/samsung-techwin,https://www.investing.com/equities/samsung-techwin-technical,,,,,,,"'https://stock.naver.com/domestic/stock/012450/price',","'https://www.investing.com/equities/samsung-techwin',","'https://www.investing.com/equities/samsung-techwin-technical',"
7,LIG디펜스앤에어로스페이스,https://stock.naver.com/domestic/stock/079550/price,https://www.investing.com/equities/lig-nex1-co-ltd,https://www.investing.com/equities/lig-nex1-co-ltd-technical,,,,,,,"'https://stock.naver.com/domestic/stock/079550/price',","'https://www.investing.com/equities/lig-nex1-co-ltd',","'https://www.investing.com/equities/lig-nex1-co-ltd-technical',"
,현대차,https://stock.naver.com/domestic/stock/005380/price,https://www.investing.com/equities/hyundai-motor,https://www.investing.com/equities/hyundai-motor-technical,,,,,,,"'https://stock.naver.com/domestic/stock/005380/price',","'https://www.investing.com/equities/hyundai-motor',","'https://www.investing.com/equities/hyundai-motor-technical',"
9,코카콜라(KO),https://stock.naver.com/worldstock/stock/KO/price,https://www.investing.com/equities/coca-cola-co,https://www.investing.com/equities/coca-cola-co-technical,,,,,,,"'https://stock.naver.com/worldstock/stock/KO/price',","'https://www.investing.com/equities/coca-cola-co',","'https://www.investing.com/equities/coca-cola-co-technical',"
10,넥스트에라 에너지 (NEE),https://stock.naver.com/worldstock/stock/NEE/price,https://www.investing.com/equities/nextera-energy-inc,https://www.investing.com/equities/nextera-energy-inc-technical,,,,,,,"'https://stock.naver.com/worldstock/stock/NEE/price',","'https://www.investing.com/equities/nextera-energy-inc',","'https://www.investing.com/equities/nextera-energy-inc-technical',"
11,HD현대일렉트릭,https://stock.naver.com/domestic/stock/267260/price,https://www.investing.com/equities/hyundai-electric-energy-systems,https://www.investing.com/equities/hyundai-electric-energy-systems-technical,,,,,,,"'https://stock.naver.com/domestic/stock/267260/price',","'https://www.investing.com/equities/hyundai-electric-energy-systems',","'https://www.investing.com/equities/hyundai-electric-energy-systems-technical',"
12,KODEX 삼성전자SK하이닉스채권혼합50,https://stock.naver.com/domestic/stock/0177N0/price,https://www.investing.com/etfs/0177n0,https://www.investing.com/etfs/0177n0-technical,,,,,,,"'https://stock.naver.com/domestic/stock/0177N0/price',","'https://www.investing.com/etfs/0177n0',","'https://www.investing.com/etfs/0177n0-technical',"
