,Name,naver_stock,investing 1,investing 2,,,,,,"""'"" & C2 & ""',""",,,
13,버티브 홀딩스,https://stock.naver.com/worldstock/stock/VRT/price,https://www.investing.com/equities/gs-acquisition-a,https://www.investing.com/equities/gs-acquisition-a-technical,,,,,,,"'https://stock.naver.com/worldstock/stock/VRT/price',","'https://www.investing.com/equities/gs-acquisition-a',","'https://www.investing.com/equities/gs-acquisition-a-technical',"
14,JPMorgan Nasdaq Equity Premium Income ETF,https://stock.naver.com/worldstock/etf/JEPQ.O/price,https://www.investing.com/etfs/jepq,https://www.investing.com/etfs/jepq-technical,,,,,,,"'https://stock.naver.com/worldstock/etf/JEPQ.O/price',","'https://www.investing.com/etfs/jepq',","'https://www.investing.com/etfs/jepq-technical',"
15,KODEX 미국S&P500,https://stock.naver.com/domestic/stock/379800/price,https://www.investing.com/etfs/379800,https://www.investing.com/etfs/379800-technical,,,,,,,"'https://stock.naver.com/domestic/stock/379800/price',","'https://www.investing.com/etfs/379800',","'https://www.investing.com/etfs/379800-technical',"
16,TIGER 미국배당다우존스,https://stock.naver.com/domestic/stock/458730/price,https://www.investing.com/etfs/458730,https://www.investing.com/etfs/458730-technical,,,,,,,"'https://stock.naver.com/domestic/stock/458730/price',","'https://www.investing.com/etfs/458730',","'https://www.investing.com/etfs/458730-technical',"
17,SK하이닉스,https://stock.naver.com/domestic/stock/000660/price,https://www.investing.com/equities/sk-hynix-inc,https://www.investing.com/equities/sk-hynix-inc-technical,,,,,,,"'https://stock.naver.com/domestic/stock/000660/price',","'https://www.investing.com/equities/sk-hynix-inc',","'https://www.investing.com/equities/sk-hynix-inc-technical',"
18,엔씨소프트,https://stock.naver.com/domestic/stock/036570/price,https://www.investing.com/equities/ncsoft-corp,https://www.investing.com/equities/ncsoft-corp-technical,,,,,,,"'https://stock.naver.com/domestic/stock/036570/price',","'https://www.investing.com/equities/ncsoft-corp',","'https://www.investing.com/equities/ncsoft-corp-technical',"
19,Schwab US Dividend Equity ETF,https://stock.naver.com/worldstock/etf/SCHD.K/price,https://www.investing.com/etfs/schwab-us-dividend-equity,https://www.investing.com/etfs/schwab-us-dividend-equity-technical,,,,,,,"'https://stock.naver.com/worldstock/etf/SCHD.K/price',","'https://www.investing.com/etfs/schwab-us-dividend-equity',","'https://www.investing.com/etfs/schwab-us-dividend-equity-technical',"
20,삼성전자,https://stock.naver.com/domestic/stock/005930/price,https://www.investing.com/equities/samsung-electronics-co-ltd,https://www.investing.com/equities/samsung-electronics-co-ltd-technical,,,,,,,"'https://stock.naver.com/domestic/stock/005930/price',","'https://www.investing.com/equities/samsung-electronics-co-ltd',","'https://www.investing.com/equities/samsung-electronics-co-ltd-technical',"
21,VanEck Semiconductor ETF,https://stock.naver.com/worldstock/etf/SMH.O/price,https://www.investing.com/etfs/holdrs-merrill-lynch-semiconductor,https://www.investing.com/etfs/holdrs-merrill-lynch-semiconductor-technical,,,,,,,"'https://stock.naver.com/worldstock/etf/SMH.O/price',","'https://www.investing.com/etfs/holdrs-merrill-lynch-semiconductor',","'https://www.investing.com/etfs/holdrs-merrill-lynch-semiconductor-technical',"
22,리얼티 인컴,https://stock.naver.com/worldstock/stock/O/price,https://www.investing.com/equities/realty-income,https://www.investing.com/equities/realty-income-technical,,,,,,,"'https://stock.naver.com/worldstock/stock/O/price',","'https://www.investing.com/equities/realty-income',","'https://www.investing.com/equities/realty-income-technical',"
23,마이크론 테크놀로지,https://stock.naver.com/worldstock/stock/MU.O/price,https://www.investing.com/equities/micron-tech,https://www.investing.com/equities/micron-tech-technical,,,,,,,"'https://stock.naver.com/worldstock/stock/MU.O/price',","'https://www.investing.com/equities/micron-tech',","'https://www.investing.com/equities/micron-tech-technical',"
24,TIGER 미국테크TOP10 INDXX,https://stock.naver.com/domestic/stock/381170/price,https://www.investing.com/etfs/381170,https://www.investing.com/etfs/381170-technical,,,,,,,"'https://stock.naver.com/domestic/stock/381170/price',","'https://www.investing.com/etfs/381170',","'https://www.investing.com/etfs/381170-technical',"
25,KODEX AI전력핵심설비,https://stock.naver.com/domestic/stock/487240/price,https://www.investing.com/etfs/487240-seoul,https://www.investing.com/etfs/487240-seoul-technical,,,,,,,"'https://stock.naver.com/domestic/stock/487240/price',","'https://www.investing.com/etfs/487240-seoul',","'https://www.investing.com/etfs/487240-seoul-technical',"
26,팔란티어 테크놀로지스,https://stock.naver.com/worldstock/stock/PLTR.O/price,https://www.investing.com/equities/palantir-technologies-inc,https://www.investing.com/equities/palantir-technologies-inc-technical,,,,,,,"'https://stock.naver.com/worldstock/stock/PLTR.O/price',","'https://www.investing.com/equities/palantir-technologies-inc',","'https://www.investing.com/equities/palantir-technologies-inc-technical',"
27,비트코인,https://stock.naver.com/crypto/BITHUMB/BTC,https://www.investing.com/crypto/bitcoin/btc-krw,https://www.investing.com/crypto/bitcoin/btc-krw-technical,,,,,,,"'https://stock.naver.com/crypto/BITHUMB/BTC',","'https://www.investing.com/crypto/bitcoin/btc-krw',","'https://www.investing.com/crypto/bitcoin/btc-krw-technical',"
