id,Name,naver_stock,investing 1,investing 2
1,GE 버노바,https://stock.naver.com/worldstock/stock/GEV/price,https://www.investing.com/equities/ge-vernova-llc,https://www.investing.com/equities/ge-vernova-llc-technical
2,First Trust NASDAQ Cln Edge Smart Grid Infra Ix Fd,https://stock.naver.com/worldstock/etf/GRID.O/price,https://www.investing.com/etfs/nq-clean-edge-smart-grid-infras.,https://www.investing.com/etfs/nq-clean-edge-smart-grid-infras.-technical
3,PAVE,https://stock.naver.com/worldstock/etf/PAVE.K/price,https://www.investing.com/etfs/global-x-us-infrastructure-dev,https://www.investing.com/etfs/global-x-us-infrastructure-dev-technical
4,HANARO 전력설비투자,https://stock.naver.com/domestic/stock/491820/price,https://www.investing.com/etfs/491820-seoul,https://www.investing.com/etfs/491820-seoul-technical
5,산일전기,https://stock.naver.com/domestic/stock/062040/price,https://www.investing.com/equities/sanil-electric,https://www.investing.com/equities/sanil-electric-technical
6,TIGER 코리아AI전력기기TOP3플러스,https://stock.naver.com/domestic/stock/0117V0/price,https://www.investing.com/etfs/0117v0-seoul,https://www.investing.com/etfs/0117v0-seoul-technical
7,SK이터닉스,https://stock.naver.com/domestic/stock/475150/price,https://www.investing.com/equities/sk-eternix,https://www.investing.com/equities/sk-eternix-technical
8,TIGER 반도체TOP10커버드콜액티브,https://stock.naver.com/domestic/stock/0177R0/price,https://www.investing.com/etfs/0177r0-seoul,https://www.investing.com/etfs/0177r0-seoul-technical
9,KODEX 미국우주항공,https://stock.naver.com/domestic/stock/0167Z0/price,https://www.investing.com/etfs/0167z0,https://www.investing.com/etfs/0167z0-technical
10,HANARO Fn K-반도체,https://stock.naver.com/domestic/stock/395270/price,https://www.investing.com/etfs/395270,https://www.investing.com/etfs/395270-technical
11,현대로템,https://stock.naver.com/domestic/stock/064350/price,https://www.investing.com/equities/hyundai-rotem,https://www.investing.com/equities/hyundai-rotem-technical
12,TIGER 미국우주테크,https://stock.naver.com/domestic/stock/0183J0/price,https://www.investing.com/etfs/0183j0-seoul,https://www.investing.com/etfs/0183j0-seoul-technical
13,KODEX 금융고배당TOP10타겟위클리커버드콜,https://stock.naver.com/domestic/stock/498410/price,https://www.investing.com/etfs/498410-seoul,https://www.investing.com/etfs/498410-seoul-technical
14,ACE 미국30년국채액티브,https://stock.naver.com/domestic/stock/476760/price,https://www.investing.com/etfs/476760-seoul,https://www.investing.com/etfs/476760-seoul-technical
15,인텔,https://stock.naver.com/worldstock/stock/INTC.O/price,https://www.investing.com/equities/intel-corp,https://www.investing.com/equities/intel-corp-technical
16,LIG디펜스앤에어로스페이스,https://stock.naver.com/domestic/stock/079550/price,https://www.investing.com/equities/lig-nex1-co-ltd,https://www.investing.com/equities/lig-nex1-co-ltd-technical
17,현대차,https://stock.naver.com/domestic/stock/005380/price,https://www.investing.com/equities/hyundai-motor,https://www.investing.com/equities/hyundai-motor-technical
18,코카콜라(KO),https://stock.naver.com/worldstock/stock/KO/price,https://www.investing.com/equities/coca-cola-co,https://www.investing.com/equities/coca-cola-co-technical
19,넥스트에라 에너지 (NEE),https://stock.naver.com/worldstock/stock/NEE/price,https://www.investing.com/equities/nextera-energy-inc,https://www.investing.com/equities/nextera-energy-inc-technical
20,HD현대일렉트릭,https://stock.naver.com/domestic/stock/267260/price,https://www.investing.com/equities/hyundai-electric-energy-systems,https://www.investing.com/equities/hyundai-electric-energy-systems-technical
21,KODEX 삼성전자SK하이닉스채권혼합50,https://stock.naver.com/domestic/stock/0177N0/price,https://www.investing.com/etfs/0177n0,https://www.investing.com/etfs/0177n0-technical
22,버티브 홀딩스,https://stock.naver.com/worldstock/stock/VRT/price,https://www.investing.com/equities/gs-acquisition-a,https://www.investing.com/equities/gs-acquisition-a-technical
23,JPMorgan Nasdaq Equity Premium Income ETF,https://stock.naver.com/worldstock/etf/JEPQ.O/price,https://www.investing.com/etfs/jepq,https://www.investing.com/etfs/jepq-technical
24,KODEX 미국S&P500,https://stock.naver.com/domestic/stock/379800/price,https://www.investing.com/etfs/379800,https://www.investing.com/etfs/379800-technical
25,TIGER 미국배당다우존스,https://stock.naver.com/domestic/stock/458730/price,https://www.investing.com/etfs/458730,https://www.investing.com/etfs/458730-technical
26,SK하이닉스,https://stock.naver.com/domestic/stock/000660/price,https://www.investing.com/equities/sk-hynix-inc,https://www.investing.com/equities/sk-hynix-inc-technical
27,엔씨소프트,https://stock.naver.com/domestic/stock/036570/price,https://www.investing.com/equities/ncsoft-corp,https://www.investing.com/equities/ncsoft-corp-technical
28,Schwab US Dividend Equity ETF,https://stock.naver.com/worldstock/etf/SCHD.K/price,https://www.investing.com/etfs/schwab-us-dividend-equity,https://www.investing.com/etfs/schwab-us-dividend-equity-technical
29,삼성전자,https://stock.naver.com/domestic/stock/005930/price,https://www.investing.com/equities/samsung-electronics-co-ltd,https://www.investing.com/equities/samsung-electronics-co-ltd-technical
30,VanEck Semiconductor ETF,https://stock.naver.com/worldstock/etf/SMH.O/price,https://www.investing.com/etfs/holdrs-merrill-lynch-semiconductor,https://www.investing.com/etfs/holdrs-merrill-lynch-semiconductor-technical
31,리얼티 인컴,https://stock.naver.com/worldstock/stock/O/price,https://www.investing.com/equities/realty-income,https://www.investing.com/equities/realty-income-technical
32,마이크론 테크놀로지,https://stock.naver.com/worldstock/stock/MU.O/price,https://www.investing.com/equities/micron-tech,https://www.investing.com/equities/micron-tech-technical
33,TIGER 미국테크TOP10 INDXX,https://stock.naver.com/domestic/stock/381170/price,https://www.investing.com/etfs/381170,https://www.investing.com/etfs/381170-technical
34,KODEX AI전력핵심설비,https://stock.naver.com/domestic/stock/487240/price,https://www.investing.com/etfs/487240-seoul,https://www.investing.com/etfs/487240-seoul-technical
35,팔란티어 테크놀로지스,https://stock.naver.com/worldstock/stock/PLTR.O/price,https://www.investing.com/equities/palantir-technologies-inc,https://www.investing.com/equities/palantir-technologies-inc-technical
36,일라이 릴리,https://stock.naver.com/worldstock/stock/LLY/price,https://www.investing.com/equities/eli-lilly-and-co,https://www.investing.com/equities/eli-lilly-and-co-technical
37,비트코인,https://stock.naver.com/crypto/BITHUMB/BTC,https://www.investing.com/crypto/bitcoin/btc-krw,https://www.investing.com/crypto/bitcoin/btc-krw-technical
28,WisdomTree India Earnings Fund,https://stock.naver.com/worldstock/etf/EPI/price,https://www.investing.com/etfs/wisdomtree-india-earnings-fund,https://www.investing.com/etfs/wisdomtree-india-earnings-fund-technical
