id,Name,naver_stock,investing 1,investing 2
1,ACE KRX금현물,https://stock.naver.com/domestic/stock/411060/price,https://www.investing.com/etfs/411060,https://www.investing.com/etfs/411060-technical
2,ACE 미국빅테크TOP7 Plus,https://stock.naver.com/domestic/stock/465580/price,https://www.investing.com/etfs/465580-seoul,https://www.investing.com/etfs/465580-seoul-technical
3,ACE 일라이릴리밸류체인,https://stock.naver.com/domestic/stock/497520/price,https://www.investing.com/etfs/497520,https://www.investing.com/etfs/497520-technical
