id,Name,naver_stock,investing 1,investing 2
1,DRAM,https://stock.naver.com/worldstock/etf/DRAM.K/price,https://www.investing.com/etfs/dram,https://www.investing.com/etfs/dram-technical
2,GE 버노바,https://stock.naver.com/worldstock/stock/GEV/price,https://www.investing.com/equities/ge-vernova-llc,https://www.investing.com/equities/ge-vernova-llc-technical
3,First Trust NASDAQ Cln Edge Smart Grid Infra Ix Fd,https://stock.naver.com/worldstock/etf/GRID.O/price,https://www.investing.com/etfs/nq-clean-edge-smart-grid-infras.,https://www.investing.com/etfs/nq-clean-edge-smart-grid-infras.-technical
4,PAVE,https://stock.naver.com/worldstock/etf/PAVE.K/price,https://www.investing.com/etfs/global-x-us-infrastructure-dev,https://www.investing.com/etfs/global-x-us-infrastructure-dev-technical
5,HANARO 전력설비투자,https://stock.naver.com/domestic/stock/491820/price,https://www.investing.com/etfs/491820-seoul,https://www.investing.com/etfs/491820-seoul-technical
6,산일전기,https://stock.naver.com/domestic/stock/062040/price,https://www.investing.com/equities/sanil-electric,https://www.investing.com/equities/sanil-electric-technical
7,TIGER 코리아AI전력기기TOP3플러스,https://stock.naver.com/domestic/stock/0117V0/price,https://www.investing.com/etfs/0117v0-seoul,https://www.investing.com/etfs/0117v0-seoul-technical
8,SK이터닉스,https://stock.naver.com/domestic/stock/475150/price,https://www.investing.com/equities/sk-eternix,https://www.investing.com/equities/sk-eternix-technical
9,HANARO Fn K-반도체,https://stock.naver.com/domestic/stock/395270/price,https://www.investing.com/etfs/395270,https://www.investing.com/etfs/395270-technical
10,현대로템,https://stock.naver.com/domestic/stock/064350/price,https://www.investing.com/equities/hyundai-rotem,https://www.investing.com/equities/hyundai-rotem-technical
11,TIGER 미국우주테크,https://stock.naver.com/domestic/stock/0183J0/price,https://www.investing.com/etfs/0183j0-seoul,https://www.investing.com/etfs/0183j0-seoul-technical
12,인텔,https://stock.naver.com/worldstock/stock/INTC.O/price,https://www.investing.com/equities/intel-corp,https://www.investing.com/equities/intel-corp-technical
13,LIG디펜스앤에어로스페이스,https://stock.naver.com/domestic/stock/079550/price,https://www.investing.com/equities/lig-nex1-co-ltd,https://www.investing.com/equities/lig-nex1-co-ltd-technical
14,현대차,https://stock.naver.com/domestic/stock/005380/price,https://www.investing.com/equities/hyundai-motor,https://www.investing.com/equities/hyundai-motor-technical
15,코카콜라(KO),https://stock.naver.com/worldstock/stock/KO/price,https://www.investing.com/equities/coca-cola-co,https://www.investing.com/equities/coca-cola-co-technical
16,넥스트에라 에너지 (NEE),https://stock.naver.com/worldstock/stock/NEE/price,https://www.investing.com/equities/nextera-energy-inc,https://www.investing.com/equities/nextera-energy-inc-technical
17,HD현대일렉트릭,https://stock.naver.com/domestic/stock/267260/price,https://www.investing.com/equities/hyundai-electric-energy-systems,https://www.investing.com/equities/hyundai-electric-energy-systems-technical
18,KODEX 삼성전자SK하이닉스채권혼합50,https://stock.naver.com/domestic/stock/0177N0/price,https://www.investing.com/etfs/0177n0,https://www.investing.com/etfs/0177n0-technical
19,버티브 홀딩스,https://stock.naver.com/worldstock/stock/VRT/price,https://www.investing.com/equities/gs-acquisition-a,https://www.investing.com/equities/gs-acquisition-a-technical
20,JPMorgan Nasdaq Equity Premium Income ETF,https://stock.naver.com/worldstock/etf/JEPQ.O/price,https://www.investing.com/etfs/jepq,https://www.investing.com/etfs/jepq-technical
