id,Name,naver_stock,investing 1,investing 2
1,ACE 일라이릴리밸류체인,https://stock.naver.com/domestic/stock/497520/price,https://www.investing.com/etfs/497520,https://www.investing.com/etfs/497520-technical
2,ASML 홀딩 ADR,https://stock.naver.com/worldstock/stock/ASML.O/price,https://www.investing.com/equities/asml-holdings,https://www.investing.com/equities/asml-holdings-technical
3,GE 버노바,https://stock.naver.com/worldstock/stock/GEV/price,https://www.investing.com/equities/ge-vernova-llc,https://www.investing.com/equities/ge-vernova-llc-technical
4,HANARO 미국AI메모리반도체TOP4+,https://stock.naver.com/domestic/stock/0181B0/price,https://www.investing.com/etfs/0181b0-seoul,https://www.investing.com/etfs/0181b0-seoul-technical
5,KoAct 글로벌AI메모리반도체액티브,https://stock.naver.com/domestic/stock/0174B0/price,https://www.investing.com/etfs/0174b0-seoul,https://www.investing.com/etfs/0174b0-seoul-technical
6,KODEX AI반도체핵심장비,https://stock.naver.com/domestic/stock/471990/price,https://www.investing.com/etfs/471990-seoul,https://www.investing.com/etfs/471990-seoul-technical
7,KODEX AI전력핵심설비,https://stock.naver.com/domestic/stock/487240/price,https://www.investing.com/etfs/487240-seoul,https://www.investing.com/etfs/487240-seoul-technical
8,KODEX 미국S&P500,https://stock.naver.com/domestic/stock/379800/price,https://www.investing.com/etfs/379800,https://www.investing.com/etfs/379800-technical
9,KODEX 미국S&P500(H),https://stock.naver.com/domestic/stock/449180/price,https://www.investing.com/etfs/449180,https://www.investing.com/etfs/449180-technical
10,KODEX 미국나스닥100,https://stock.naver.com/domestic/stock/379810/price,https://www.investing.com/etfs/379810,https://www.investing.com/etfs/379810-technical
11,KODEX 미국나스닥100(H),https://stock.naver.com/domestic/stock/449190/price,https://www.investing.com/etfs/449190,https://www.investing.com/etfs/449190-technical
12,PAVE,https://stock.naver.com/worldstock/etf/PAVE.K/price,https://www.investing.com/etfs/global-x-us-infrastructure-dev,https://www.investing.com/etfs/global-x-us-infrastructure-dev-technical
13,Schwab US Dividend Equity ETF,https://stock.naver.com/worldstock/etf/SCHD.K/price,https://www.investing.com/etfs/schwab-us-dividend-equity,https://www.investing.com/etfs/schwab-us-dividend-equity-technical
14,SK하이닉스,https://stock.naver.com/domestic/stock/000660/price,https://www.investing.com/equities/sk-hynix-inc,https://www.investing.com/equities/sk-hynix-inc-technical
15,SOL AI반도체소부장,https://stock.naver.com/domestic/stock/455850/price,https://www.investing.com/etfs/455850,https://www.investing.com/etfs/455850-technical
16,SOL K방산,https://stock.naver.com/domestic/stock/490480/price,https://www.investing.com/etfs/490480,https://www.investing.com/etfs/490480-technical
17,SOL 미국배당다우존스,https://stock.naver.com/domestic/stock/446720/price,https://www.investing.com/etfs/446720,https://www.investing.com/etfs/446720-technical
